action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,35301,[],CHEMBL674643,Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase,B,,,BAO_0000190,BAO_0000357,single protein format,COc1cc(C=C(C#N)C#N)cc(OC)c1O,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1124610,J Med Chem,1989,,CHEMBL421877,,CHEMBL421877,,0,http://www.openphacts.org/units/Nanomolar,137187,=,1,1,=,,IC50,nM,,850000.0,CHEMBL203,Homo sapiens,Epidermal growth factor receptor,9606,,,IC50,uM,UO_0000065,,850.0
,,36518,[],CHEMBL674643,Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase,B,,,BAO_0000190,BAO_0000357,single protein format,N#CC(C#N)=Cc1cc(O)c(O)c(O)c1,,,CHEMBL1124610,J Med Chem,1989,"{'bei': '27.32', 'le': '0.50', 'lle': '4.29', 'sei': '5.10'}",CHEMBL310798,TYRPHOSTIN 25,CHEMBL310798,5.52,0,http://www.openphacts.org/units/Nanomolar,137192,=,1,1,=,,IC50,nM,,3000.0,CHEMBL203,Homo sapiens,Epidermal growth factor receptor,9606,,,IC50,uM,UO_0000065,,3.0
,,37510,[],CHEMBL677833,In vitro inhibition of Epidermal growth factor receptor tyrosine kinase isolated from A431 (human carcinoma).,B,,,BAO_0000190,BAO_0000357,single protein format,C/N=N/Nc1ccc2ncnc(N(C)c3ccccc3)c2c1,,,CHEMBL1145114,J Med Chem,2003,"{'bei': '17.43', 'le': '0.32', 'lle': '1.29', 'sei': '7.75'}",CHEMBL135592,,CHEMBL135592,5.10,0,http://www.openphacts.org/units/Nanomolar,262235,=,1,1,=,,IC50,nM,,8000.0,CHEMBL203,Homo sapiens,Epidermal growth factor receptor,9606,,,IC50,uM,UO_0000065,,8.0
,,40025,[],CHEMBL674643,Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase,B,,,BAO_0000190,BAO_0000357,single protein format,N#C/C(=C\c1ccc([N+](=O)[O-])cc1)C(=O)O,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1124610,J Med Chem,1989,,CHEMBL309866,,CHEMBL309866,,0,http://www.openphacts.org/units/Nanomolar,137171,=,1,1,=,,IC50,nM,,1300000.0,CHEMBL203,Homo sapiens,Epidermal growth factor receptor,9606,,,IC50,uM,UO_0000065,,1300.0
,,40026,[],CHEMBL674643,Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase,B,,,BAO_0000190,BAO_0000357,single protein format,N#C/C(=C/c1ccc[nH]1)C(=O)O,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1124610,J Med Chem,1989,,CHEMBL77381,,CHEMBL77381,,0,http://www.openphacts.org/units/Nanomolar,137219,=,1,1,=,,IC50,nM,,1360000.0,CHEMBL203,Homo sapiens,Epidermal growth factor receptor,9606,,,IC50,uM,UO_0000065,,1360.0
,,41220,[],CHEMBL674643,Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase,B,,,BAO_0000190,BAO_0000357,single protein format,N#C/C(=C\c1ccc(O)cc1)C(=O)O,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1124610,J Med Chem,1989,,CHEMBL76602,alpha-CYANO-4-HYDROXYCINNAMIC ACID,CHEMBL76602,,0,http://www.openphacts.org/units/Nanomolar,137236,=,1,1,=,,IC50,nM,,165000.0,CHEMBL203,Homo sapiens,Epidermal growth factor receptor,9606,,,IC50,uM,UO_0000065,,165.0
,,41222,[],CHEMBL674643,Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase,B,,,BAO_0000190,BAO_0000357,single protein format,N#CC(C#N)=Cc1ccncc1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1124610,J Med Chem,1989,,CHEMBL77737,,CHEMBL77737,,0,http://www.openphacts.org/units/Nanomolar,137217,=,1,1,=,,IC50,nM,,250000.0,CHEMBL203,Homo sapiens,Epidermal growth factor receptor,9606,,,IC50,uM,UO_0000065,,250.0
,,41224,[],CHEMBL674643,Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase,B,,,BAO_0000190,BAO_0000357,single protein format,N#CC(C#N)=Cc1ccc(F)cc1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1124610,J Med Chem,1989,,CHEMBL76983,,CHEMBL76983,,0,http://www.openphacts.org/units/Nanomolar,137188,>,1,1,>,,IC50,nM,,1250000.0,CHEMBL203,Homo sapiens,Epidermal growth factor receptor,9606,,,IC50,uM,UO_0000065,,1250.0
,,41226,[],CHEMBL674643,Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase,B,,,BAO_0000190,BAO_0000357,single protein format,N#CC(C#N)=Cc1ccc(O)c([N+](=O)[O-])c1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1124610,J Med Chem,1989,,CHEMBL308134,,CHEMBL308134,,0,http://www.openphacts.org/units/Nanomolar,137198,=,1,1,=,,IC50,nM,,125000.0,CHEMBL203,Homo sapiens,Epidermal growth factor receptor,9606,,,IC50,uM,UO_0000065,,125.0
,,42300,[],CHEMBL677833,In vitro inhibition of Epidermal growth factor receptor tyrosine kinase isolated from A431 (human carcinoma).,B,,,BAO_0000190,BAO_0000357,single protein format,CN(C)/N=N/c1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,,,CHEMBL1145114,J Med Chem,2003,"{'bei': '24.03', 'le': '0.47', 'lle': '3.26', 'sei': '11.94'}",CHEMBL136491,,CHEMBL136491,7.85,0,http://www.openphacts.org/units/Nanomolar,262243,=,1,1,=,,IC50,nM,,14.0,CHEMBL203,Homo sapiens,Epidermal growth factor receptor,9606,,,IC50,uM,UO_0000065,,0.014
